item,data_lancamento,lanc_Ent_qtd,lanc_Ent_valor,lanc_Sai_qtd,lanc_Sai_valor,saldo_inicio_valor,saldo_inicio_qtd,saldo_final_valor,saldo_final_qtd
80.03.104-1,07/03/2013,0.0,0.0,4929.5808,10679.880000000001,82107.20000000001,40111.03350000002,71427.32,35181.45270000002
80.03.104-1,08/03/2013,10700.0,23181.44,13620.7084,29509.129999999997,71427.32,35181.45270000002,65099.63000000001,32260.744300000024
80.03.104-1,09/03/2013,0.0,0.0,7798.9999,16896.46,65099.63000000001,32260.744300000024,48203.17000000001,24461.744400000025
80.03.104-1,12/03/2013,0.0,0.0,3389.1882,7342.639999999999,48203.17000000001,24461.744400000025,40860.53000000001,21072.556200000025
80.03.104-1,13/03/2013,8940.0,19368.42,13505.0759,29258.61,40860.53000000001,21072.556200000025,30970.34000000001,16507.480300000025
80.03.104-1,18/03/2013,0.0,0.0,4440.129800000001,9619.5,30970.34000000001,16507.480300000025,21350.84000000001,12067.350500000024
80.03.104-1,21/03/2013,11750.0,25456.26,11750.0,25456.26,21350.84000000001,12067.350500000024,21350.840000000007,12067.350500000022
80.03.104-1,22/03/2013,0.0,0.0,2849.1565,6172.67,21350.840000000007,12067.350500000022,15178.170000000007,9218.194000000021
80.03.104-1,23/03/2013,0.0,0.0,2288.777,4958.610000000001,15178.170000000007,9218.194000000021,10219.560000000007,6929.417000000021
80.03.104-1,26/03/2013,76600.0,170745.81000000003,38300.0,82976.57,10219.560000000007,6929.417000000021,97988.80000000002,45229.417000000016
80.03.104-1,27/03/2013,0.0,0.0,6628.571,14360.73,97988.80000000002,45229.417000000016,83628.07000000002,38600.84600000002
80.03.104-1,28/03/2013,0.0,0.0,12.128,26.28,83628.07000000002,38600.84600000002,83601.79000000002,38588.71800000002
80.03.104-1,31/03/2013,0.0,43.79,0.0,43.79,83601.79000000002,38588.71800000002,83601.79000000002,38588.71800000002
80.03.104-1,01/04/2013,0.0,0.0,8.7625,18.599999999999998,83601.79000000002,38588.71800000002,83583.19000000002,38579.955500000025
80.03.104-1,02/04/2013,12630.0,26800.73,12630.0,26800.73,83583.19000000002,38579.955500000025,83583.19000000002,38579.955500000025
80.03.104-1,03/04/2013,0.0,0.0,6343.1230000000005,13460.05,83583.19000000002,38579.955500000025,70123.14000000001,32236.832500000026
80.03.104-1,08/04/2013,0.0,0.0,3162.6931999999997,6711.219999999999,70123.14000000001,32236.832500000026,63411.92000000001,29074.139300000024
80.03.104-1,10/04/2013,91.6192,194.42,91.6192,194.42,63411.92000000001,29074.139300000024,63411.92000000001,29074.139300000024
80.03.104-1,11/04/2013,0.0,0.0,3164.1419,6714.280000000001,63411.92000000001,29074.139300000024,56697.640000000014,25909.997400000026
80.03.104-1,16/04/2013,13200.0,28010.27,19820.4458,42058.8,56697.640000000014,25909.997400000026,42649.110000000015,19289.55160000002
80.03.104-1,24/04/2013,0.0,0.0,6600.7948000000015,14006.83,42649.110000000015,19289.55160000002,28642.280000000013,12688.75680000002
80.03.104-1,25/04/2013,12470.0,26461.22,12470.0,26461.22,28642.280000000013,12688.75680000002,28642.280000000013,12688.756800000017
80.03.104-1,26/04/2013,0.0,0.0,1606.3468,3408.6499999999996,28642.280000000013,12688.756800000017,25233.630000000012,11082.410000000018
80.03.104-1,29/04/2013,71440.0,149878.23,37328.0,79209.64000000001,25233.630000000012,11082.410000000018,95902.22,45194.41000000002
80.03.104-1,30/04/2013,35720.0,77514.21,35824.3012,77735.54000000001,95902.22,45194.41000000002,95680.88999999998,45090.108800000016
80.03.104-1,02/05/2013,78060.0,163118.84,44105.8238,94110.36,95680.88999999998,45090.108800000016,164689.37,79044.28500000002
80.03.104-1,03/05/2013,23820.0,50825.69,23820.1614,50826.03,164689.37,79044.28500000002,164689.03,79044.12360000002
80.03.104-1,06/05/2013,0.0,0.0,3.8545000000000003,8.219999999999999,164689.03,79044.12360000002,164680.81,79040.26910000002
80.03.104-1,08/05/2013,0.0,0.0,14.1634,30.22,164680.81,79040.26910000002,164650.59,79026.10570000001
80.03.104-1,09/05/2013,0.0,0.0,2.0732,4.43,164650.59,79026.10570000001,164646.16,79024.03250000002
80.03.104-1,13/05/2013,44840.0,96483.26,22420.0,47838.45,164646.16,79024.03250000002,213290.96999999997,101444.03250000002
80.03.104-1,14/05/2013,22420.0,47838.45,22420.0,47838.45,213290.96999999997,101444.03250000002,213290.96999999997,101444.03250000002
80.03.104-1,15/05/2013,23780.0,51167.78999999999,11890.0,25370.17,213290.96999999997,101444.03250000002,239088.58999999997,113334.03250000002
80.03.104-1,16/05/2013,11890.0,25370.17,11890.0,25370.17,239088.58999999997,113334.03250000002,239088.58999999997,113334.03250000002
80.03.104-1,17/05/2013,21420.0,46090.08,19936.7868,42539.93000000001,239088.58999999997,113334.03250000002,242638.74,114817.24570000003
80.03.104-1,21/05/2013,21420.0,45704.72,21430.8089,45727.78,242638.74,114817.24570000003,242615.67999999996,114806.43680000002
80.03.104-1,22/05/2013,43840.0,95894.90999999999,32653.684999999998,69674.48,242615.67999999996,114806.43680000002,268836.11,125992.75180000003
80.03.104-1,23/05/2013,21920.0,46771.59,21925.3018,46782.91,268836.11,125992.75180000003,268824.7899999999,125987.45000000003
80.03.104-1,27/05/2013,11970.0,25540.87,11970.0,25540.87,268824.7899999999,125987.45000000003,268824.7899999999,125987.45000000001
